Name,Background,Discussion,Low Standard Conventional,High Standard Conventional,Low Standard International,High Standard International,Low Optimal Conventional,High Optimal Conventional,Low Optimal International,High Optimal International,Standard Unit,International Units,Clinical Implications Low,Clinical Implications High,Other Condtions Low,Other Condtions High,Interfering Factors Falsely Elevated,Interfering Factors Falsely Decreased,Drug Tests,Drug Causes of Decreased Levels,Drug Causes of Increased Levels
Large HDL-P (NMR),"Large buoyant HDL particles are the most efficient at reverse cholesterol transport (RTC) and promoting cholesterol clearance
by the liver.","Reverse cholesterol transport (RCT) is the process of collecting or “scavenging” cholesterol from peripheral tissues and plaque
and returning it to the liver for processing or elimination.

HDL, via RCT, is able to collect cholesterol from macrophages in atherosclerotic plaque, a critical mechanism that reduces the
risk of a cardiovascular incident.

Low levels of large, buoyant HDL may impair RCT and can be associated with a greater risk of cardiovascular disease.

Large buoyant HDL levels may be increased with aerobic exercise, moderate alcohol consumption, and fish oil.
The combination of high-intensity exercise and calorie restriction may increase large, buoyant HDL as well.",3.5,50,3.5,50,7.2,50,7.2,50,umol/L,umol/L,"Increased cardiovascular risk
Low levels of large HDL are correlated with a 1.8x increased CVD risk.

Elevated small LDL
Lower levels of large HDL-Ps are associated with higher leveis of atherogenic small and medium LDL particles.

Low HDL
HDL levels below 40 mg/dL are likely indicative of low levels of large protective buoyant HDL.

Triglyceride levels
Reduced levels of large-buoyant HDL particles are associated with increased levels of triglycerides.","Reduced risk of cardiovascular disease
Abundant levels of large, buoyant HDL are associated with reduced risk of CVD.

Decreased small LDL
Higher levels of large HDL-ps is associated with lower levels of small and medium LDL particles which reduces CVD risk.

Weight Loss
Moderate weight loss was associated with an increase in HDL particle concentrations.",,,,,,,
Large VLDL-P (NMR),"Large VLDL particles are associated with an increased risk of cardiovascular and cardiometabolic disease.

They are considered atherogenic and are viewed as markers for metabolic syndrome and increased risk of type 2 diabetes,
even if triglyceride levels aren't elevated.","Research suggests that postprandial increases of large VLDL contribute to the formation of highly atherogenic small, dense
LDL as demonstrated in myocardial infarction patients. Serum concentrations of large VLDL and triglycerides increased
significantly following a high-fat meal, especially in those with triglycerides elevated at baseline.

Administration of omega-3 fatty acids, especially EPA and DHA, decreased serum levels of large VLDL particles and
triglycerides.

Interestingly, higher levels of large VLDL were associated with higher levels of hemoglobin in men and possibly increased risk
of atherosclerosis, obesity, insulin resistance, and metabolic syndrome.

Weight gain was associated with an increase in large VLDL particles while weight loss was associated with their reduction.",0,16,0,16,0,3.7,0,3.7,nmol/L,nmol/L,"Reduced risk of cardiovascular disease
A low or optimal level of large VLDL is associated with a decreased risk of cardiovascular disease. However, adequate
triglycerides, the primary lipid in VLDL, are required for metabolism and energy production.","Increased risk of cardiovascular disease
High levels of large VLDL (along with high levels of small dense LDL, and low levels of large HDL) increase the risk of coronary
heart disease as well as metabolic syndrome and type 2 diabetes, though not in type 1 diabetes.","A decrease in total VLDL may be associated with familial hypolipoproteinemia,
hyperthyroidism, and hypoproteinemia (e.g., malabsorption, severe burns, or
malnutrition).

Pancreatic tumors","e Familial LDL lipoproteinemia

e Nephrotic syndrome

e Glycogen storage diseases (e.g.,
von Gierke disease)

e Hypothyroidism

e Alcohol consumption

e Chronic liver disease (e.g., hepatitis
or cirrhosis)

e Hepatoma Gammopathies (e.g.,
multiple myeloma)

e Familial hypercholesterolemia type
ila Cushing syndrome

e Apoprotein Cit deficiency",,,,,
LDH,"LDH represents a group of enzymes that are involved in carbohydrate metabolism. Decreased levels of LDH often correspond
to hypoglycemia (especially reactive hypoglycemia), pancreatic function, and glucose metabolism. Increased levels are used to
evaluate the presence of tissue damage to the cell causing a rupture in the cellular cytoplasm. LDH is found in many of the
tissues of the body, especially the heart, liver, kidney, skeletal muscle, brain, red blood cells, and lungs. Damage to any of these
tissues will cause an elevated serum LDH level.","Lactate dehydrogenase (LDH) is the enzyme that is involved in the catalytic conversion of pyruvate into factate in the
presence of NAD/NADH that occurs in every cell. Lactate is a major product of exercising muscle cells and red blood cell
metabolism. Pyruvate is converted into lactate primarily under anaerobic conditions (some tissues and cell types also produce
lactate under aerobic conditions). The lactate formed can be recycled. It is released into the blood stream and is eventually
taken up by the jiver. The liver converts it back into glucose, which is released back into the blood stream where it is taken up
by muscles recovering from strenuous exercise, red blood cells, and other tissues.
The total LDH level is composed of fractions of 5 LDH isoenzymes. Each of these isoenzymes can be fractionated by
electrophoresis into their constituent fraction.
Since LDH is found in almost every tissue in the body, an elevated total LDH level has limited diagnostic value by itself. Anyone
with a significantly increased total LDH level shouid have an LDH isoenzyme study perfo differential diagnosis. ",100,200,100,200,140,200,140,200,IU/L,IU/L,"Reactive Hypoglycemia
A common finding in reactive hypoglycemia is a decreased fasting blood glucose along with a decreased LDH. Hemoglobin
AIC levels may also be reduced. LDH is an important enzyme for pyruvate metabolism in glycolysis and is associated with
pancreatic function and glucose metabolism.","Liver/Biliary dysfunction

If LDH is increased with increased total bilirubin, direct bilirubin, AST. GGT, and/or alkaline phosphatase, liver/biliary
dysfunction is probable. LDH is usually increased in liver congestion. Liver infection (hepatitis, infectious mononucleosis, EBV,
CMV etc.) should be ruled out.

Cardiovascular disease

Elevated LDH levels are seen in cardiac dysfunction due to tissue stress and/or damage. Total LDH levels are elevated in about
90-95% of patients with acute Mi. LDH levels become elevated about 24-48 hours after an Mi. With a suspected MI, the AST is
increased 4-10 times above the reference range in an acute myocardial infarct, peaking after 24 hours and normalizing after 3-
4 days. Secondary rises in AST levels suggest a recurring MI or continued infarction. Patients with a triglyceride level that is
higher than the total cholesterol level and a decreased HDL have a higher risk of developing cardiovascular disease.

Anemia- B12/folate deficiency (megaloblastic)

Serum LDH levels are elevated in about 85% of those with megaloblastic anemia, which is primarily caused by a deficiency in
vitamin B12 and/or folate. The megaloblastic changes cause increased destruction of the red blood cells in the marrow, which
is reflected in the increased LDH levels. LDH can be used to help identify the type of anemia present. Isoenzyme fractionation
typically shows an elevated LDH-1 In megaloblastic anemia. Other value changes seen with megaloblastic anemia include
increased MCH, MCV, RDW, serum iron and decreased RBCs, and HGB.

Anemia- hemolytic

Serum LDH levels are elevated in most people with hemolytic anemia. LDH levels can help assist in ruling out hemolytic
anemia. A normal LDH level with substantial anemia seen in other values makes hemolytic anemia less likely. An elevation of
LDH-1 isoenzyme fraction that occurs with hemolytic anemia contributes to the increase in the total serum LDH value. In about
60% of hemolytic anemias, the LDH-1 and LDH-2 fractions will be reversed, with a much higher LDH-2 level.

Non-specific tissue inflammation

An increased LDH level will be seen with non-specific tissue inflammation. Basophils will almost always be elevated. During
inflammation, basophils deliver heparin to the affected tissue to prevent clotting. ESR will be increased along with a decreased
serum albumin, total protein, and globulin.

Tissue destruction

Any type of tissue destruction in the body will cause the rupture of the cell cytoplasm and the release of LDH. Damage and
secondary inflammation will cause an increase in serum LDH. It is our recommendation that any patient who has an increase of
more than 10 U/L above the standard or “normal” reference range should have an LDH Isoenzyme fraction study to determine
the exact location of the tissue damage.

Viral infection

LDH levels are usually elevated in about 95% of cases of infectious mononucleosis and Epstein Barr infection (EBV). LDH is
usually elevated in cytomegalovirus infection (CMV). Other values usually take time to increase. You may expect the following
changes: decreased WBCs in the first week, increased WBCs by 2nd week of illness, increased alkaline phosphatase and
SGOT/AST (about 5-14 days after onset of illness), increased GGT (about 7-21 days after onset of illness).",,"© Hypothyroidism

© Renat artery occlusion or embolism
OQ Pulmonary infarction

© Liver diseases

© CHF

© Malignant neoplasm

© Skeletal muscle diseases

© Sickle cell disease

© Acute and chronic pancreatitis","© Due to the high concentrations of LDH in red blood cells, abnormally elevated levels may occur if
hemolysis occurs at time of the blood draw.

© Strenuous exercise and muscular exertion

© Skin diseases

© Moderately increased in children <18 years of age

© Pregnancy",Some drugs,,,
LDH : HDL - Female,"The calculation of the LDL Cholesterol to HDL Cholesterol ratio provides a better assessment of cardiovascular risk than
measuring either biomarker alone. Increased ratios are associated with increased cardiovascular risk.","An increased ratio reflects an imbalance in cholesterol delivery (LDL) and cholesterol scavenging (HDL). Such an imbalance
increases the risk that LDL cholesterol will infiltrate and damage blood vessels and increase risk of cardiovascular disease and
even sudden death.

LDL/HDL cholesterol ratio is considered as useful as the total cholesterol to HDL ratio. It may be an even better assessment of
cardiovascular risk when triglyceride levels are also taken into account. Note that calculation of LDL is considered inaccurate if
triglyceride levels exceed 300 mg/dL.

A decrease in LDL or an increase in HDL will favorably affect the ratio and help to reduce cardiovascular risk.",0,4.12,0,4.12,0,2.34,0,2.34,Ratio,Ratio,"Reduced risk of cardiovascular disease
A low or optimal ratio of LDL/HDL suggests a balance between cholesterol delivery to cells (LDL) and cholesterol
collection/scavenging from tissues and blood vessels. A low relative ratio should reduce cardiovascular risk. However, alt
cardiovascular risk factors must be taken into account including lifestyle and diet.","Cardiovascular disease risk increase

An increased LDL/HDL ratio indicates a relative increase in LDL (that can cause atherosclerotic plaque and blood vessel
damage when it becomes oxidized) and a relative decrease in HDL (that collects cholesterol and carries it away from tissues
and blood vessels).

Familial hypercholesterolemia

A one-unit increase in LDL/HDL ratio increased risk of a coronary heart disease event by 17% in those with familial
hypercholesterolemia. Also, an LDL level eight times greater than the HDL level predicted an adverse coronary heart disease
event (i.e. LDL/HDL ratio of 8).

Sudden cardiac death

An increased LDL/HDL ratio was significantly associated with sudden cardiac death in those with coronary heart disease,
those on lipid-lowering medications, and even in those without a history of coronary heart disease.",,,,,,,
LDH : HDL - Male,"The calculation of the LDL Cholesterol to HDL Cholesterol ratio provides a better assessment of cardiovascular risk than
measuring either biomarker alone. Increased ratios are associated with increased cardiovascular risk.","An increased ratio reflects an imbalance in cholesterol delivery (LDL) and cholesterol scavenging (HDL). Such an imbalance
increases the risk that LDL cholesterol will infiltrate and damage blood vessels and increase risk of cardiovascular disease and
even sudden death.

LDL/HDL cholesterol ratio is considered as useful as the total cholesterol to HDL ratio. It may be an even better assessment of
cardiovascular risk when triglyceride levels are also taken into account. Note that calculation of LDL is considered inaccurate if
triglyceride levels exceed 300 mg/dL.

A decrease in LDL or an increase in HDL will favorably affect the ratio and help to reduce cardiovascular risk.",0,4.9,0,4.9,0,2.28,0,2.28,Ratio,Ratio,"Reduced risk of cardiovascular disease
A low or optimal ratio of LDL/HDL suggests a balance between cholesterol delivery to cells (LDL) and cholesterol
collection/scavenging from tissues and blood vessels. A low relative ratio should reduce cardiovascular risk. However, all
cardiovascular risk factors must be taken into account including lifestyle and diet.","Cardiovascular disease risk increase

An increased LDL/HDL ratio indicates a relative increase in LDL (that can cause atherosclerotic plaque and blood vessel
damage when it becomes oxidized) and a relative decrease in HDL (that collects cholesterol and carries it away from tissues
and blood vessels).

Familial hypercholesterolemia

A one-unit increase in LDL/HDL ratio increased risk of a coronary heart disease event by 17% in those with familial
hypercholesterolemia. Also, an LDL level eight times greater than the HDL level predicted an adverse coronary heart disease
event (i.e. LDL/HDL ratio of 8).

Sudden cardiac death

An increased LDL/HDL ratio was significantly associated with sudden cardiac death in those with coronary heart disease,
those on lipid-lowering medications, and even in those without a history of coronary heart disease.",,,,,,,
LDL Cholesterol,"LDL functions to transport cholesterol and other fatty acids from the liver to the peripheral tissues for uptake and metabolism
by the cells. It is known as “bad cholesterol” because it is thought that this process of bringing cholesterol from the liver to the
peripheral tissue increases the risk for atherosclerosis. An increased LDL cholesterol is just one of many independent risk
factors for cardiovascular disease. It is also associated with metabolic syndrome, oxidative stress, and fatty liver.","LDL contains most of the cholesterol in the serum and is the lipoprotein that carries the majority of the essential fatty acids
from the liver to the tissue. LDL levels are inversely related to HDL in terms of their ratios. As LDL increases, HDL levels
decrease and vise versa. LDL has a better correlation with risk of atherosclerosis than total cholesterol. There is also an
association between increased LDL levels coupled with decreased HDL levels and an increased risk of atherosclerotic coronary
artery disease, diabetes, and metabolic syndrome.",0,99.99,0,2.59,80,99.99,2.07,2.59,mg/dL,mmol/L,,"Metabolic Syndrome /hyperinsulinemia

If LDL levels are increased, triglycerides are increased with decreased HDL cholesterol and increased fasting blood glucose,
then metabolic syndrome and hyperinsulinemia is probable. Metabolic Syndrome can lead to adrenal dysregulation, so adrenal
hyperfunctioning should be ruled out.

Increased risk of atherosclerosis, cardiovascular risk and stroke

An increased LDL level is associated with the development of atherosclerosis and an increased risk for cardiovascular disease
and stroke. If there is an increased triglyceride level in relation to total cholesterol with an increased uric acid level, a decreased
HDL and an increased LDL, atherosclerosis is probable. Platelet levels may also be increased. Homocysteine levels are
frequently increased with atherosclerosis. Hs-CRP are frequently in men and in women, and fibrinogen levels are frequently
increased above. Diabetes and thyroid hypofunction should atso be considered with this pattern.

Hyperlipidemia

Increased LDL cholesterot and total cholesterol levels are associated with hyperlipidemia, which has been shown to indicate a
potential risk of developing atherosclerotic coronary artery disease. If LDL is increased with an increased total cholesterol and
an increased LDL/HDL ratio and an increased level of triglycerides with HDL less than of the total cholesterol, hyperlipidemia is
probable.

Oxidative stress

Increased LDL levels are associated with increasing free radical activity and oxidative stress. The peroxidation of LDL may
promote the accumulation of cholesterol in the macrophages and smooth muscle cells, which can lead to atherosclerotic
plaque formation.

Fatty liver (early development) and Liver congestion

If LDL levels are increased, along with increased triglyceride and total cholesterol levels, and HDL levels are decreased, the
early development of fatty liver is possible. Liver congestion, due to the fatty liver, should be considered if total cholesterol is
above, triglycerides are increased, and the SGPT/ALT is below.

Diet- high in refined carbohydrates

The Standard American Diet, which is very high in refined carbohydrates, can contribute to increased LDL.",,"© Heavy metal/Chemical overload

© Hypothyroidism

© High Saturated fat diet

© Nephritic syndrome

© Familiat type I] Hypercholesterolemia
© Multiple myeloma

© Hepatic obstruction

© Anorexia nervosa

© Diabetes mellitus

© Chronic renat failure",Pregnancy,,,"• Estrogen therapy
• Statins","© Estrogen plus progesterone therapy

© Birth Control Piits (BCPs)

© Select progestins

© Loop diuretics

© Anabolic steroids

© Growth Homrone

© Retinoids

© AntiviralsHormone"
LDL Medium (ION),"LDL Medium is a measurement of medium dense LDL particles. An elevated LDL Medium is associated with an increased risk
of cardiovascular disease. A lower concentration of medium LDL suggests a decreased risk of CVD.",,0,215,0,215,0,245,0,245,nmol/L,nmol/L,"Decreased risk of cardiovascular disease
A lower concentration of medium LDL suggests a decreased risk of CVD.","Increased risk of cardiovascular disease
Elevated LDL Medium is an increase in circulating medium dense LDL particles, which has been associated with an increase
risk of inflammation, atherosclerosis, and damage to blood vessel endothelium.",,,,,,,
LDL Particle Number (ION),"The quantification of the LDL particle number is a better tool for assessing cardiovascular disease and a better indicator of
subclinical disease than just measuring LDL cholesterol.","The measurement of the LDL Particle Number can identify individuals with residual cardiac risk despite having low LDL
cholesterol. LDL-P also has a stronger association with coronary artery calcium and carotid intima-media thickness than LDL-C
does.

The LDL Particle Number can be estimated by measuring atherogenic ApoB as each LDL particle usually carries one ApoB.
However, discordance between the two is associated with metabolic dysfunction. For example, a high LDL Particle Number
with a favorable ApoA is associated with insulin resistance, smaller LDL size, systemic inflammation, and tower circulating
“traditional” lipids, even when LDL cholesterol is considered ideal. In such cases, LDL may be depleted of cholesterol but still
atherogenic.

A favorable LDL Particle Number with a higher ApoB is associated with larger LDL particle size, increased lipoprotein(a), and
increased phospholipase A2 (Lp-PLA 2).

A healthy diet low in trans fats and saturated fats, maintaining a healthy weight, and regular exercise can help reduce the LDL
Particle Number.",0,1138,0,1138,0,1138,0,1138,nmol/L,nmol/L,A low LDL Particle Number may not be clinically relevant unless associated with malnutrition.,"Cardiovascular Disease

Elevation in the LDL Particle Number represents an increased risk of cardiovascular disease. The risk of heart attack can be
high with an elevated LDL Particle Number despite low total LDL cholesterol. An elevated LDL Particle Number may be
indicative of future CVD events as well.

Carotid intima media thickness and coronary artery calcium

An elevated LDL Particle Number was associated with CIMT and CAC even when non-HDL cholesterol was favorable.
Insulin Resistance

A higher LDL Particle Number is associated with higher HOMA-IR, adiponectin, and leptin to adiponectin ratio.",,,,,,,
LDL Peak Size (ION),"LDL Peak Size (ION) is a measurement of the size of the LDL particles. A low LDL Peak Size is reflective of having a lot of
small dense LDL (sdLDL) particles, which poses the greatest CVD and insulin resistance risk even though they have less
cholesterol than larger particles.","Most cholesterol in the blood is transported on low-density lipoprotein (LDL). The amount of cholesterol carried by each LDL
particle can vary, creating a range of LDL particle sizes and a range of susceptibility to oxidative damage and cardiovascular
risk.

Evaluating LDL particle size may help identify cardiometabolic risk even in individuals with “low risk” levels of LDL cholesterol,
non-HDL cholesterol, and triglycerides.

It is important to determine the breakdown of small versus large LDL particles because just determining “average” LDL
particle size may not identify an excess of the more dangerous small LDL particles which are detrimental.

LDL size ranges from small and dense (pattern A) to large and buoyant (pattern B).

Small dense LDL particles (smaller than 20.5 nm) have less cholestero! but more triglyceride than larger particles and they can
more easily penetrate the artery wall and become oxidized and glycated. Having more sdLDL particles is associated with an
increased risk of cardiovascular disease, insulin resistance, and diabetes.

LDL particte size can be increased (improved) via weight loss, exercise, blood glucose control, and a healthy plant-based diet
containing raw nuts, and fiber, especially psyllium fiber and oat bran.

There are a variety of methods for measuring lipoprotein size and concentration and their results are not interchangeable.
Nuclear magnetic resonance (NMR) is commonly used and is considered the least labor-intensive.

A separate measurement of sdLDL cholestero! (sdLDL-C) can be performed for further assessment of cardiometabolic risk.",220,500,220,500,257,500,257,500,Angstrom,Angstrom,"Increased cardiovascular risk

A decreased LDL Peak Size suggests small LDL particles, which are considered a risk factor for cardiovascular disease. More
than 50% of heart attack victims have sdLDLs which triple the risk of coronary plaque and myocardial infarction.
Inflammation and Oxidative Stress

A decreased LDL Peak Size suggests small LDL particles, which can more easily penetrate the arterial wall and promote
inflammation, oxidation, and glycation making them more atherogenic. Small dense LDL particles also carry fewer antioxidant
vitamins and are more susceptible to oxidation and glycation and are more apt to promote inflammation.

Genetic Factors

A decreased LDL Peak Size suggests small LDL particles. The tendency toward producing small dense LDLs may be a genetic
predisposition that is triggered by weight gain and unhealthy lifestyle habits though it can also occur in those who are not
overweight.

Insulin Resistance

Interestingly, insulin resistance is associated with cholesterol-depleted LDL particles which are smaller and denser and more
able to penetrate the artery wall.","Reduced cardiovascular risk
An optimal/large LDL Peak Size suggests a reduced risk of cardiovascular disease. Large LDL size correlates with HDL and
may be considered cardioprotective.",,,,,,,
LDL Size (NMR),"LDL Size is a measurement of the size of the LDL particles. A low LDL Size is reflective of having a lot of small dense LDL
(sdLDL) particles, which poses the greatest CVD and insulin resistance risk even though they have less cholesterol than larger
particles.","Most cholesterol in the blood is transported on low-density lipoprotein (LDL). The amount of cholesterol carried by each LDL
particle can vary, creating a range of LDL particle sizes and a range of susceptibility to oxidative damage and cardiovascular
risk.

Evaluating LDL particle size may help identify cardiometabolic risk even in individuals with “low risk” levels of LDL cholesterol,
non-HDL cholesterol, and triglycerides.

It is important to determine the breakdown of small versus large LDL particles because just determining “average” LDL
particle size may not identify an excess of the more dangerous small LDL particles which are detrimental.

LDL size ranges from small and dense (pattern A) to large and buoyant (pattern B).

Small dense LDL particles (smaller than 20.5 nm) have less cholesterol but more triglyceride than larger particles and they can
more easily penetrate the artery wall and become oxidized and glycated. Having more sdLDL particles is associated with an
increased risk of cardiovascular disease, insulin resistance, and diabetes.

LDL particle size can be increased (improved) via weight loss, exercise, blood glucose control, and a healthy plant-based diet
containing raw nuts, and fiber, especially psyllium fiber and oat bran.

There are a variety of methods for measuring lipoprotein size and concentration and their results are not interchangeable.
Nuclear magnetic resonance (NMR) is commonly used and is considered the least labor-intensive.

A separate measurement of sdLDL cholesterol (sdLDL-C) can be performed for further assessment of cardiometabolic risk.",20,22.3,20,22.3,20.5,22.3,20.5,22.3,nm,nm,"Increased cardiovascular risk

Small LDL particles are considered a risk factor for cardiovascular disease. More than 50% of heart attack victims have sdLDLs
which triple the risk of coronary plaque and myocardial infarction.

Inflammation and Oxidative Stress

Small dense LDLs can more easily penetrate the arterial wall and promote inflammation, oxidation, and glycation making them
more atherogenic. Small dense LDL particles also carry fewer antioxidant vitamins and are more susceptible to oxidation and
glycation and are more apt to promote inflammation.

Genetic FactorsTendency toward producing small dense LDLs may be a genetic predisposition that is triggered by weight gain
and unhealthy lifestyle habits though it can also occur in those who are not overweight.

Insulin Resistance

Interestingly, insulin resistance is associated with cholesterol-depleted LDL particles which are smaller and denser and more
able to penetrate the artery wall.","Reduced cardiovascular risk
An optimal/large LDL particle size suggests a reduced risk of cardiovascular disease. Large LDL size correlates with HDL and
may be considered cardioprotective.",,,,,,,
LDL Small (ION),"Low-density lipoproteins carry cholesterol in the blood but also contain protein, triglycerides, and phospholipids. Their
composition changes as they circulate depending on their relative content of protein and lipids. LDL Small is a measurement of
small dense LDL particles. An elevated LDL Small is associated with atherosclerosis and cardiovascular disease as well as
insulin resistance and diabetes.","The LDL Small biomarker is a measurement of small, dense LDL particles. Due to its size, a small, dense LDL particle can easily
infiltrate the artery wall and promote inflammation. It contains fewer antioxidant vitamins, making it more susceptible to
oxidation. It is more susceptible to glycation as well, increasing its atherogenicity and detrimental effects.

Therefore, small dense LDL particles are more apt to cause atherosclerotic plaques and arterial wall damage and contribute
more to cardiovascular disease than large buoyant LDL particles.

Research suggests that an increased number of small dense LDL particles increases the risk of myocardial infarction even
when total and LDL cholesterol are not elevated.

The risk of developing coronary plaque and suffering an Mi may be tripled due to small dense LDL particles. Small, dense LDL
has been associated with decreased insulin sensitivity and type 2 diabetes as well.

A plant-based diet, healthy lifestyle, and weight loss can help increase LDL particle size and reduce the LDL Small levels.
Antioxidant intake and status may play a role in reducing the atherogenic potential of small dense LDL particles as well.

A separate measurement of sdLDL cholesterol (sdLDL-C) can be performed for further assessment of cardiometabolic risk.",0,142,0,142,0,142,0,142,nmol/L,nmol/L,"Reduced risk of cardiovascular disease
A low level of LDL Small is associated with a reduced risk of inflammation, atherosclerosis, blood vessel damage, CVD, insulin
resistance, and metabolic syndrome.","Endothelial Dysfunction

Atherogenic sdLDL can trigger endothelial dysfunction and increased production of pro-coagulants.

Increased risk of cardiovascular disease

Elevated small dense LDL particles increase risk of inflammation, atherosclerosis, and damage to blood vessel endothelium.
Insulin Resistance

Interestingly, insulin resistance is associated with cholesterol-depleted LDL particles which are smaller and denser and more
able to penetrate the artery wall.

Metabolic syndrome

Having more sdLDL particles is considered a more sensitive biomarker for metabolic syndrome than just measuring LDL-
cholesterol.

Oxidation and glycation

Small dense LDL particles carry fewer antioxidant vitamins and are more susceptible to oxidation and glycation and are more
apt to promote inflammation.",,,,,,,
LDL-P (NMR),"The quantification of the LDL particle number (LDL-P) is a better tool for assessing cardiovascular disease and a better
indicator of subclinical disease than just measuring LDL cholesterol.","The measurement of LDL-P can identify individuals with residual cardiac risk despite having low LDL cholesterol. LDL-P also
has a stronger association with coronary artery calcium and carotid intima-media thickness than LDL-C does.

LDL-P can be estimated by measuring atherogenic ApoB as each LDL particle usually carries one ApoB.

However, discordance between the two is associated with metabolic dysfunction. For example, a high LDL-P with a favorable
ApoA is associated with insulin resistance, smaller LDL size, systemic inflammation, and lower circulating “traditional” lipids,
even when LDL cholesterol is considered ideal. In such cases, LDL may be depleted of cholesterol! but still atherogenic.

A favorable LDL-P with a higher ApoB is associated with larger LDL particle size, increased lipoprotein(a), and increased
phospholipase A2 (Lp-PLA 2).

A healthy diet tow in trans fats and saturated fats, maintaining a healthy weight. and regular exercise can help reduce LDL-P.",592,2404,592,2404,0,935,0,935,nmol/L,nmol/L,A low LDL-P number may not be clinically relevant unless associated with malnutrition.,"Cardiovascular Disease

Elevation in the total number of LDL particles (LDL-P) represents increased risk of cardiovascular disease. Risk of heart attack
can be high with elevated LDL-P despite low total LDL cholesterol. An elevated LDL-P may be indicative of future CVD events
as well.

Carotid intima media thickness and coronary artery caicium

Elevated LDL-P was associated with CIMT and CAC even when non-HDL cholesterol was favorable.

Insulin Resistance

Higher LDL-P is associated with higher HOMA-IR, adiponectin, and leptin to adiponectin ratio.",,,,,,,
Leptin - Female,"Leptin is a hormone produced by adipose (fat) tissue. Ongoing research indicates that leptin plays a role in many physiological
processes in the body including immunity, bone formation, blood cell formation and blood sugar regulation. Increasing leptin
levels are associated with increasing body fat levels.","Leptin is a protein hormone primarily produced by white adipose tissue. Prior to leptin’s discovery, adipose tissue was simply
viewed as an energy storage reserve. After it was discovered that adipocytes produced hormones like leptin, fat became an
endocrine organ like the ovaries, thyroid, pancreas and pituitary, influencing the rest of the body especially the brain. Ongoing
research indicates that leptin not only plays an important role in the body’s response to food deprivation, but is also involved
in a diverse array of physiological functions including angiogenesis, hematopoiesis, immunity, bone formation, sexual
development, reproduction, and blood sugar regulation.

In regards to blood sugar regulation and metabolism, insulin and leptin work synergistically to control the quality and rate of
one’s metabolism via nervous system control. Insulin works mostly at the individual cellular level, signaling the cell whether to
burn or store fat and whether to utilize that energy for maintenance and repair or reproduction. Leptin then communicates
with the brain via the hypothalamus about how much energy (fat) the body has stored, and whether it needs more, should
burn some, and whether it is an advantageous time for the body to reproduce.

Increasing leptin levels in the blood correlate with increasing body fat. Therefore, obese individuals have the highest levels of
leptin, suggesting that these individuals are insensitive to leptin or “leptin resistant” as opposed to suffering from leptin
deficiency. “Leptin resistance” is caused by the same general mechanism as “insulin resistance”. As the hormone concentration
level in the blood becomes elevated, the corresponding receptor cells become resistant to the hormone over time, thereby
requiring an even higher concentration of hormone to produce the desired effect. In the case of leptin, as fat storage increases,
more leptin is produced, which over time, causes the receptor cells in the hypothalamus and other target tissues to become
“resistant” to leptin. The effect is a reduction in the feeling of satiation after meals, similar to the effect caused by low leptin
levels. Therefore, these individuals feel like they are hungry all the time so they eat more and gain more body fat perpetuating
this cycle.

In lean individuals, leptin along with adiponectin, are pivotal in preventing ectopic lipid accumulation, which is the
accumulation of fat outside the usual fat stores i.e. in places other than adipose tissue. A drop in adiponectin coupled with
leptin resistance leads to ectopic lipid accumulation in various tissues and organs, especially in the abdomen. When this occurs
in muscle, it leads to insulin insensitivity (a relative inability of insulin to facilitate the disposal of glucose in tissues). Insulin
insensitivity is the first step towards the development of both type 2 diabetes and heart disease. Lipid accumulation in
pancreatic beta cells, the site of insulin production, contributes to the development of type 2 diabetes, and in cardiomyocytes,
contributes to cardiovascular disease. In addition, in obesity the release of growth hormone declines, exacerbating the decline
normally seen with aging, and perpetuating obesity through the loss of the hormone’s muscle building and fat burning effects.
The key to interrupting ectopic lipid accumulation and the resulting complications associated with that process is to re-
sensitize leptin receptors and lower the leptin levels in the blood. This can be achieved by transitioning the metabolism over to
a fat-burning metabolism via omega-3 fatty acids, CLA, L-carnitine, lowering simple and eliminating refined carbohydrates and
getting adequate amounts of exercise.",4.7,23.7,4.7,23.7,4.7,11,4.7,11,ng/mL,ug/L,"Malnutrition and Wasting
Extremely tow levels of leptin could indicate malnutrition and possible pathology associated with wasting.","Leptin Resistance

An increased leptin level is an indication that the body and cells may have become resistant to the actions of leptin. This is
similar to the development of insulin resistance. The net effect of leptin resistance is a reduction in the feeling of satiation after
meals, similar to the effect caused by low leptin levels. Therefore, these individuals feel like they are hungry all the time so they
eat more and gain more body fat perpetuating this cycle.

Increased Risk of Developing Metabolic Syndrome, Insulin Resistance, CVD and Type || Diabetes

Leptin is pivotal in preventing ectopic lipid accumulation, which is the accumulation of fat outside the usual fat stores i.e. in
places other than adipose tissue. An increased leptin level can lead to ectopic lipid accumulation in organs and tissues,
especially the abdomen. When this occurs in the muscle, it leads to insulin insensitivity. Insulin insensitivity is the first step
towards the development of both type 2 diabetes and heart disease. Lipid accumulation in pancreatic beta cells, the site of
insulin production, contributes to the development of type 2 diabetes, and in cardiomyocytes, contributes to cardiovascular
disease. In addition, in obesity the release of growth hormone declines, exacerbating the decline normally seen with aging, and
perpetuating obesity through the loss of the hormone’s muscle building and fat burning effects. Therefore an increased leptin
level is significantly associated with an increased risk for developing metabolic syndrome, insulin resistance. cardiovascular
disease and Type || Diabetes.",,,,,,,
